"","PMID","Title","Abstract"
"1","27844092","Exogenous daytime melatonin modulates response of adolescent mice in a repeated unpredictable stress paradigm.","The immediate and short-term behavioural and physiological implications of exposure to stressful scenarios in the adolescent period are largely unknown; however  increases in occurrence of stress-related physiological and psychological disorders during puberty highlight the need to study substances that may modulate stress reactivity during a crucial stage of maturation. Seven groups of mice (12-15 g each) were administered distilled water (DW) (non-stressed and stressed controls)  sertraline (10 mg/kg)  diazepam (2 mg/kg) or one of three doses of melatonin (5  10 and 15 mg/kg). Mice were exposed to 30 min of chronic mild stress (25 min of cage shaking  cage tilting  handling and 5 min of forced swimming in tepid warm water at 25 °C  in a random order) after administration of DW or drugs  daily for 21 days. Behavioural assessments were conducted on day 1 and day 21 (after which mice were sacrificed  blood taken for estimation of corticosterone levels and brain homogenates used for estimation of antioxidant activities). Administration of melatonin resulted in an increase in horizontal locomotion and self-grooming  while rearing showed a time-dependent increase  compared to non-stress and stress controls. Working memory improved with increasing doses of melatonin (compared to controls and diazepam); in comparison to setraline however  working memory decreased. A dose-related anxiolytic effect is seen when melatonin is compared to non-stressed and stressed controls. Melatonin administration reduced the systemic/oxidant response to repeated stress. Administration of melatonin in repeatedly stressed adolescent mice was associated with improved central excitation  enhancement of working memory  anxiolysis and reduced systemic response to stress."
"2","25981674","Direct inhibition of retinoic acid catabolism by fluoxetine.","Recent evidence from animal and human studies suggests neuroprotective effects of the SSRI fluoxetine  e.g.  in the aftermath of stroke. The underlying molecular mechanisms remain to be fully defined. Because of its effects on the cytochrome P450 system (CYP450)  we hypothesized that neuroprotection by fluoxetine is related to altered metabolism of retinoic acid (RA)  whose CYP450-mediated degradation in brain tissue constitutes an important step in the regulation of its site-specific auto- and paracrine actions. Using traditional pharmacological in vitro assays  the effects of fluoxetine on RA degradation were probed in crude synaptosomes from rat brain and human-derived SH-SY5Y cells  and in cultures of neuron-like SH-SY5Y cells. Furthermore  retinoid-dependent effects of fluoxetine on neuronal survival following glutamate exposure were investigated in rat primary neurons cells using specific retinoid receptor antagonists. Experiments revealed dose-dependent inhibition of synaptosomal RA degradation by fluoxetine along with dose-dependent increases in RA levels in cell cultures. Furthermore  fluoxetine's neuroprotective effects against glutamate excitotoxicity in rat primary neurons were demonstrated to partially depend on RA signaling. Taken together  these findings demonstrate for the first time that the potent  pleiotropic antidepressant fluoxetine directly interacts with RA homeostasis in brain tissue  thereby exerting its neuroprotective effects."
"3","25840741","BDNF-TRKB signaling system of the dorsal periaqueductal gray matter is implicated in the panicolytic-like effect of antidepressant drugs.","A wealth of evidence implicates the BDNF-TRKB system in the therapeutic effects of antidepressant drugs (ADs) on mood disorders. However  little is known about the involvement of this system in the panicolytic property also exerted by these compounds. In the present study we evaluated the participation of the BDNF-TRKB system of the dorsal periaqueductal gray matter (DPAG)  a core structure involved in the pathophysiology of panic disorder  in AD-induced panicolytic-like effects in rats. The results showed that short- (3 days) or long-term (21 days) systemic treatment with the tricyclic ADs imipramine  clomipramine or desipramine increased BDNF levels in the DPAG. Only longterm treatment with the selective serotonin reuptake inhibitor fluoxetine was able to increase BDNF levels in this structure. After 21-day treatment  fluoxetine and the three tricyclic ADs used also increased BDNF concentration in the hippocampus  a key area implicated in their mood-related actions. Neither in the DPAG nor hippocampus did long-term treatment with the standard anxiolytics diazepam  clonazepam or buspirone affect BDNF levels. Imipramine  both after short and long-term administration  and fluoxetine under the latter regimen  raised the levels of phosphorylated TRKB in the DPAG. Short-term treatment with imipramine or BDNF microinjection inhibited escape expression in rats exposed to the elevated T maze  considered as a panicolytic-like effect. This anti-escape effect was attenuated by the intra-DPAG administration of the TRK receptor antagonist k252a. Altogether  our data suggests that facilitation of the BDNF-TRKB system in the DPAG is implicated in the panicolytic effect of ADs."
"4","25704026","The effects of AP521, a novel anxiolytic drug, in three anxiety models and on serotonergic neural transmission in rats.","We investigated the anxiolytic effects and mechanism of action of a new anxiolytic drug  (R)-piperonyl-1 2 3 4-tetrahydro[1]benzothieno[2 3-c]pyridine-3- carboxamide hydrochloride (AP521). AP521 showed equal or more potent anxiolytic-like effects compared with diazepam  a benzodiazepine receptor agonist  or tandospirone  a partial 5-hydroxytryptamine (5-HT)1A receptor agonist  in three rat anxiety models; the Vogel-type conflict test  elevated plus maze test  and conditioned fear stress test. Although AP521 did not bind to the benzodiazepine receptor  it did bind to 5-HT1A  5-HT1B  5-HT1D  5-HT5A and 5-HT7 receptors  and showed agonist activity for the human 5-HT1A receptor expressed in HEK293 cells. Tandospirone  which can stimulate the presynaptic 5-HT1A receptors in the raphe  tended to decrease extracellular 5-HT concentration in the medial prefrontal cortex (mPFC) in rats. In contrast  AP521 increased extracellular 5-HT concentration. In addition  AP521 enhanced the anti-freezing effect of citalopram  a selective serotonin reuptake inhibitor  in the fear conditioning model in rats and enhanced the citalopram-caused increase of the extracellular 5-HT concentration in the mPFC. These results suggest that AP521 exhibits potent anxiolytic effects by acting as a postsynaptic 5-HT1A receptor agonist and by enhancing serotonergic neural transmission in the mPFC by a novel mechanism of action."
"5","25694077","Benzo- and thienobenzo- diazepines: multi-target drugs for CNS disorders.","Benzodiazepines (BZ or BZD) are a class of gabaminergic psychoactive chemicals used in hypnotics  sedation  in the treatment of anxiety  and in other CNS disorders. These drugs include alprazolam (Xanax)  diazepam (Valium)  clonazepam (Klonopin)  and others. There are two distinct types of pharmacological binding sites for benzodiazepines in the brain (BZ1 and BZ2)  these sites are on GABA-A receptors  and are classified as short  intermediate  or long-acting. From the thienobenzodiazepine class (TBZ)  Olanzapine (2-methyl-4-(4-methyl-l-piperazinyl)-10H-thieno[2 3-b][1 5]benzodiazepine) (Zyprexa) was used as an example to demonstrate the antagonism of this class of compounds for multiples receptors including: dopamine D1-D5  a-adrenoreceptor  histamine H1  muscarinic M1-M5 and 5-HT2A  5-HT2B  5-HT2C  5-HT3 and 5-HT6 receptors. Olanzapine is an atypical antipsychotic agent  structurally related to clozapine  and extensively used for the treatment of schizophrenia  bipolar disorder-associated mania  and the behavioral symptoms of Alzheimer's disease. The functional blockade of these multiple receptors contributes to the wide range of its pharmacologic and therapeutic activities  having relatively few side effects when compared to other antipsychotics agents. Thienobenzodiazepines (such as Olanzapine) are characterized as multi- receptor- targeted- acting- agents. This mini-review discusses these 2 drug classes that act on the central nervous system  the main active compounds used  and the various receptors with which they interact. In addition  we propose 12 olanzapine analogues  and generated Random Forest models  from a data set obtained from the ChEMBL database  to classify the structures as active or inactive against 5 dopamine receptors (D1  D2  D3  D4  D5 and D6)  and dopamine transporter."
"6","25590967","Fluvoxamine alleviates seizure activity and downregulates hippocampal GAP-43 expression in pentylenetetrazole-kindled mice: role of 5-HT3 receptors.","Epilepsy has been documented to lead to many changes in the nervous system including cell loss and mossy fiber sprouting. Neuronal loss and aberrant neuroplastic changes in the dentate gyrus of the hippocampus have been identified in the pentylenetetrazole (PTZ) kindling model. Antiseizure activity of selective serotonin reuptake inhibitors has been reported in several studies. In the current study  the protective effect of fluvoxamine against PTZ-kindling was investigated in terms of seizure scores  neuronal loss  and regulation of hippocampal neuroplasticity. Further  the role of 5-HT3 receptors was determined. Kindling was induced by repeated injections of PTZ (35<U+2009>mg/kg) thrice weekly  for a total of 13 injections. One hundred male albino mice were allocated into 10 groups: (1) saline  (2) PTZ  (3) diazepam (1<U+2009>mg/kg)+PTZ  (4-6) fluvoxamine (5  10 or 20<U+2009>mg/kg)+PTZ  (7) ondansetron+fluvoxamine (20<U+2009>mg/kg)+PTZ  (8) ondansetron+PTZ group  (9) ondansetron (2<U+2009>mg/kg  i.p.)+saline  and (10) fluvoxamine (20<U+2009>mg/kg)+saline. PTZ-kindled mice showed high seizure activity  hippocampal neuronal loss  and expression of growth-associated phosphoprotein (GAP-43) compared with saline-treated mice. Repeated administration of fluvoxamine (20<U+2009>mg/kg) in PTZ-kindled mice suppressed seizure scores  protected against hippocampal neuronal loss  and downregulated GAP-43 expression  without producing any signs of the 5-HT syndrome in healthy rats. Importantly  pretreatment with a selective 5-HT3 receptor blocker (ondansetron) attenuated the aforementioned effects of fluvoxamine. In conclusion  the ameliorating effect of fluvoxamine on hippocampal neurons and neuroplasticity in PTZ-kindled mice was  at least in part  dependent on enhancement of hippocampal serotoninergic transmission at 5-HT3 receptors."
"7","24920136","Plurality of anxiety and depression alteration mechanism by oleanolic acid.","Our study sought to evaluate the anxiolytic and antidepressant activities of oleanolic acid as well as the neural mechanisms involved. Animal models such as barbiturate sleep-induction  light-dark box  elevated plus maze  forced swimming test  tail suspension test and open field test were conducted. Male Albino Swiss mice were treated orally with vehicle 10 mL/kg  fluoxetine 20 mg/kg  imipramine 15 mg/kg  diazepam 1 mg/kg or oleanolic acid 5-40 mg/kg. Pretreatment (intraperitoneal) of animals with pentylenetetrazole (PTZ) 20 mg/kg  1-(2-methoxyphenyl)-4-[4- (2-phthalimido) butyl]piperazine hydrobromide (NAN-190) 0.5 mg/kg  p-chlorophenylalanine methyl ester (PCPA) 100 mg/kg or a-methyl-p-tyrosine (AMPT) 100 mg/kg  WAY100635 (WAY) 0.3 mg/kg  prazosin (PRAZ) 1 mg/kg  yohimbine 2 mg/kg as well as monoamine oxidase assay and hippocampal brain-derived neurotrophic factor (BDNF) quantification were carried out. Oleanolic acid potentiated the hypnotic effect of barbiturate and demonstrated an anxiolytic effect in both the light-dark box and elevated plus maze. This effect was not reversed by PTZ. Acute and/or chronic oral treatment of mice with oleanolic acid (5-20 mg/kg) elicited an antidepressant effect in the forced swimming test and the tail suspension test without interfering with the locomotor activity. The antidepressant effect of oleanolic acid was attenuated by NAN-190  AMPT  PCPA  WAY and PRAZ. Although monoamine oxidase activity remained unaltered by oleanolic acid  chronic administration of oleanolic acid augmented hippocampal BDNF level. These findings demonstrate multiple mechanisms of the anxiolytic and antidepressant effect of oleanolic acid."
"8","23982114","The organic cation transporter 3 (OCT3) as molecular target of psychotropic drugs: transport characteristics and acute regulation of cloned murine OCT3.","The organic cation transporter 3 (OCT3) is a widely expressed transporter for endogenous and exogenous organic cations. Of particular interest is OCT3 expression and function in the brain  where it plays a role in serotonin clearance and influences mood and behavior. Protein kinase signaling mediates rapid modulation of cerebral processes  but little is known about acute regulation of OCT3 by protein kinases. Therefore  we cloned mouse OCT3 (mOCT3) and generated a human embryonic kidney cell line stably expressing the transporter to study transport characteristics  acute regulation by protein kinases  and interaction with psychotropic drugs. Uptake measurement was performed using the fluorescent cation 4-(4-(dimethylamino)styryl)-N-methylpyridinium iodide (ASP(+)  1 µM) as a substrate. The translational value of these findings was determined by comparing results obtained with cloned mouse and human OCT3. mOCT3-mediated transport is membrane potential dependent and pH independent. ASP(+) uptake by mOCT3 and human OCT3 (hOCT3) was efficiently inhibited by 1-methyl-4-phenylpyridinium  tetrapentylammonium (TPA(+))  corticosterone  serotonin  and histamine and by the drugs ketamine  fluoxetine  and diazepam. The half maximal inhibitory concentrations of mOCT3 and hOCT3 for TPA(+)  serotonin  diazepam  and ketamine are significantly different. Diazepam is a non-transported inhibitor. Furthermore  the activities of mOCT3 and hOCT3 are acutely regulated by the p56 (lck) tyrosine kinase by decreasing their V max. Studies with freshly isolated renal proximal tubules from mOCT1/2(-/-) mice  in which mOCT3 is the only OCT present  confirmed this regulation pathway. Only the activity of hOCT3 is regulated by calmodulin. These findings suggest that even though many transport properties of mOCT3 and hOCT3 are similar  there are also species-specific aspects of OCT3 function."
"9","23639432","A benzodiazepine impairs the neurogenic and behavioural effects of fluoxetine in a rodent model of chronic stress.","Antidepressant agents such as fluoxetine have been shown to produce neurogenic effects involving transcriptional and translational changes that direct molecular and cellular plasticity. These cellular and molecular events appear necessary to mediate the therapeutic effects of fluoxetine and may be generated through the ability for fluoxetine to regulate BDNF levels. Clinically  benzodiazepines are frequently used in combination with standard antidepressants both for initial treatment and maintenance therapy  especially when comorbid anxiety is present. However  very little is known regarding the consequence of combined treatment of benzodiazepines and antidepressant on the development of clinical effect. The current study therefore examined the effect of co-administration of fluoxetine and the benzodiazepine  diazepam  on hippocampal neurogenesis in the social isolation rodent model of chronic stress. We demonstrate that 9 weeks of social isolation induces a deficit in motivational behaviour with increased anxiety as well as impairment in hippocampal neurogenesis. This was parallelled by reduced BDNF levels in the hippocampus. While treatment with fluoxetine alone for 3 weeks restored anxiety behaviour as well as progenitor cell proliferation and the generation of new hippocampal neurons  this effect was prevented by co-administration with diazepam. This suggests that co-administering benzodiazepines with antidepressants could significantly delay or prevent the cellular and behavioural improvement needed by patients. These findings indicate the need for future clinical studies designed to investigate the combined effects of benzodiazepines and antidepressants in patients."
"10","23470900","Ethopharmacological analysis of the open elevated plus-maze in mice.","Exposure of rodents to an open elevated plus-maze (oEPM) elicits antinociception and increases plasma corticosterone levels. However  no studies have yet assessed the defensive behaviour repertoire of animals in this modified test. In Experiment 1  factor analysis was employed to characterise the behavioural profile of mice exposed to the oEPM. Experiments 2 and 3 assessed the effects of acute alprazolam (0.5-1.5mg/kg; diazepam 0.5-1.5mg/kg)  pentylenetetrazole (10.0-30.0mg/kg)  yohimbine (2.0-6.0mg/kg)  mCPP (0.3-3.0mg/kg)  and acute and chronic fluoxetine (10.0-30.0mg/kg) and imipramine (1.0-15.0mg/kg) on behaviours identified in Experiment 1. The factor analyses revealed that behaviour in the oEPM can largely (77% total variance) be accounted for in terms of 3 factors: factor 1 ('depth exploration'; e.g. head-dipping on the arms)  factor 2 ('cautious exploration of arms'; e.g. flatback approach)  and factor 3 ('risk assessment'; stretched attend postures - SAP). Experiments 2 and 3 showed that  over the dose range used  alprazolam selectively attenuated all measures of defensiveness. Similar  though more modest  effects were seen with diazepam. Confirming the intensity of the emotional response to the oEPM (nociceptive  endocrine and behavioural)  relatively few significant behavioural changes were seen in response to the anxiogenic compounds tested. Although acute fluoxetine or imipramine treatment failed to modify behaviour in the oEPM  chronic fluoxetine (but not chronic imipramine) attenuated total flat back approach and increased head dipping outside the central square. Together  the results indicate that the oEPM induces behavioural defensive responses that are sensitive to alprazolam and chronic fluoxetine."
